,01.java,02.java,03.java,04.java,05.java,06.java,07.java,08.java,09.java,10.java,11.java,12.java
01.java,1.0,0.3333333333333333,0.5961538461538461,0.53125,0.44025157232704404,0.5114503816793893,0.5735294117647058,0.4186046511627907,0.4482758620689655,0.47761194029850745,0.4895833333333333,0.5419847328244275
02.java,0.3333333333333333,1.0,0.6730769230769231,0.390625,0.35,0.4732824427480916,0.5514705882352942,0.46511627906976744,0.5172413793103449,0.3880597014925373,0.4895833333333333,0.3893129770992366
03.java,0.5961538461538461,0.6730769230769231,1.0,0.4519230769230769,0.5,0.5961538461538461,0.7692307692307693,0.5288461538461539,0.6634615384615384,0.5769230769230769,0.5208333333333334,0.5192307692307693
04.java,0.53125,0.390625,0.4519230769230769,1.0,0.625,0.5,0.5,0.640625,0.5689655172413793,0.515625,0.5625,0.6953125
05.java,0.44025157232704404,0.35,0.5,0.625,1.0,0.5954198473282443,0.5661764705882353,0.4806201550387597,0.5775862068965517,0.47761194029850745,0.4583333333333333,0.6335877862595419
06.java,0.5114503816793893,0.4732824427480916,0.5961538461538461,0.5,0.5954198473282443,1.0,0.6793893129770993,0.5581395348837209,0.6120689655172413,0.4351145038167939,0.5416666666666666,0.549618320610687
07.java,0.5735294117647058,0.5514705882352942,0.7692307692307693,0.5,0.5661764705882353,0.6793893129770993,1.0,0.5581395348837209,0.6637931034482759,0.582089552238806,0.6041666666666666,0.48854961832061067
08.java,0.4186046511627907,0.46511627906976744,0.5288461538461539,0.640625,0.4806201550387597,0.5581395348837209,0.5581395348837209,1.0,0.6982758620689655,0.4108527131782946,0.5729166666666666,0.6046511627906976
09.java,0.4482758620689655,0.5172413793103449,0.6634615384615384,0.5689655172413793,0.5775862068965517,0.6120689655172413,0.6637931034482759,0.6982758620689655,1.0,0.5603448275862069,0.5208333333333334,0.6120689655172413
10.java,0.47761194029850745,0.3880597014925373,0.5769230769230769,0.515625,0.47761194029850745,0.4351145038167939,0.582089552238806,0.4108527131782946,0.5603448275862069,1.0,0.625,0.5190839694656488
11.java,0.4895833333333333,0.4895833333333333,0.5208333333333334,0.5625,0.4583333333333333,0.5416666666666666,0.6041666666666666,0.5729166666666666,0.5208333333333334,0.625,1.0,0.53125
12.java,0.5419847328244275,0.3893129770992366,0.5192307692307693,0.6953125,0.6335877862595419,0.549618320610687,0.48854961832061067,0.6046511627906976,0.6120689655172413,0.5190839694656488,0.53125,1.0
